"id","newspaper","city","state","circulation","date","e2016","e2012","link","lat","lng","combo","blurb"
125,"The Burlington Free Press","Burlington","Vermont",25848,"October 12","Hillary Clinton","Barack Obama","http://www.burlingtonfreepress.com/story/opinion/editorials/2016/10/12/editorial-president-hillary-clinton/91937216/",44.4758825,-73.212072,"The Burlington Free Press/Burlington","Clinton’s record says that she will be, at the very least, an able and competent president. At her best, she has the potential to bring her experience to bear for a presidency that gets things done, and serve as an inspiration for a new generation of women who lived to see this country elect its first female president."
126,"Traverse City Record-Eagle","Traverse City","Michigan",39032,"October 12","Hillary Clinton","","http://www.record-eagle.com/opinion/editorial-clinton-the-only-choice-in-november/article_a46041f0-900f-11e6-a82b-eb57d3dfbd36.html/",44.7630567,-85.6206317,"Traverse City Record-Eagle/Traverse City","Each day that ticks past moves our nation closer to possibly the most important presidential election in recent history — and proves there is only one serious candidate in the race: Democrat Hillary Clinton."
127,"Courier-Post","Cherry Hill","New Jersey",43096,"October 12","Hillary Clinton","","http://www.courierpostonline.com/story/opinion/editorials/2016/10/12/editorial-clinton-should-next-president/91843046/",39.926813,-75.0246312,"Courier-Post/Cherry Hill","Clinton listens to differing opinions, owns up to her mistakes and moves forward. She is among the most qualified and most vetted candidates ever to seek our nation’s highest office, and she has what it takes to command our troops, stabilize the Supreme Court, fix our aging infrastructure and guide a shift to cleaner energy to meet the challenge of climate change."
128,"The Daily Journal","Vineland","New Jersey",9983,"October 12","Hillary Clinton","","http://www.thedailyjournal.com/story/opinion/editorials/2016/10/12/editorial-clinton-should-next-president/91843046/",39.4863773,-75.0259637,"The Daily Journal/Vineland","On Nov. 8, Americans have the chance to choose between two visions for America: one that clings to a past that never really existed and one that promises our best days are ahead."
129,"Tahlequah Daily Press","Tahlequah","Oklahoma",5688,"October 12","Hillary Clinton","","http://www.tahlequahdailypress.com/opinion/editorials/trump-s-intolerant-remarks-disqualify-him-as-president/article_bedae050-736c-53b3-a667-350946d8ac2e.html",35.91537,-94.969956,"Tahlequah Daily Press/Tahlequah","Democrat Hillary Clinton is the only candidate with the experience, qualifications and respect necessary to be the next leader of the free world."
130,"Glasgow Daily Times","Glasgow","Kentucky",9925,"October 12","Hillary Clinton","","http://www.glasgowdailytimes.com/opinion/column-clinton-is-the-clear-choice/article_db242528-90a3-11e6-8884-7b03b806ef91.html",36.9958839,-85.9119215,"Glasgow Daily Times/Glasgow","Hillary Clinton is the clear choice to be the next president of the United States. Her proposals, temperament, willingness to work with the other party and a long resume of public service distinguish her. She has demonstrated that she has the intellect, experience, toughness and courage to serve in the highest office in the land."
131,"The San Francisco Examiner","San Francisco","California",254237,"October 13","Hillary Clinton","Barack Obama","http://www.sfexaminer.com/examiner-endorsements-u-s-president/",37.785277,-122.407029,"The San Francisco Examiner/San Francisco","It is fashionable for editorial endorsements for president these days to be more anti-Trump than pro-Clinton, and we will not buck that trend here. As we said in our endorsement for Bernie Sanders in the June primary, Clinton has many drawbacks as a candidate: “Hillary Clinton is a flawed standard bearer for the [Democratic] party.”\nBut they are flaws we can live with. The same can not be said of Trump."
132,"The Washington Post","Washington","District of Columbia",620041,"October 13","Hillary Clinton","Barack Obama","https://www.washingtonpost.com/opinions/hillary-clinton-for-president/2016/10/12/665f9698-8caf-11e6-bf8a-3d26847eeed4_story.html?utm_term=.946f2c7aeee7",38.902997,-77.030272,"The Washington Post/Washington","In the gloom and ugliness of this political season, one encouraging truth is often overlooked: There is a well-qualified, well-prepared candidate on the ballot. Hillary Clinton has the potential to be an excellent president of the United States, and we endorse her without hesitation."
133,"Daily Review Atlas","Monmouth","Illinois",1328,"October 13","No endorsement","No endorsement","http://www.reviewatlas.com/opinion/20161013/editors-notebook-r-m-not-endorsing-for-nov-8-election",40.9114271,-90.6473576,"Daily Review Atlas/Monmouth","While we believe newspaper endorsements have value to readers, especially with regard to local races, we simply don’t have the staffing to conduct the process well."
134,"Idaho Statesman","Boise","Idaho",52280,"October 13","Hillary Clinton","No endorsement","http://www.idahostatesman.com/opinion/editorials/article108108882.html",43.6187102,-116.2146068,"Idaho Statesman/Boise","Two people with strong, urban New York ties wouldn’t seem to bode well for understanding the needs of rural America. But during Clinton’s days in Arkansas, she developed a sensitivity and empathy for small towns and those living agrarian lifestyles. She reinvented herself and, more importantly, educated herself about the issues rural economies and workers face, and in doing so she is better prepared to understand many issues at the heart of our state."
135,"The Meridian Star","Meridian","Mississippi",16188,"October 13","Hillary Clinton","","http://www.meridianstar.com/opinion/editorials/experience-temperament-make-clinton-our-choice/article_bfc67860-31eb-560e-83dd-415efe7cad70.htmll",32.3643098,-88.703656,"The Meridian Star/Meridian",""
136,"Charleston Gazette-Mail","Charleston","West Virginia",65234,"October 14","Hillary Clinton","Mitt Romney","http://www.wvgazettemail.com/gazette-endorsements/20161014/gazette-endorsement-hillary-clinton-for-president",38.3498195,-81.6326234,"Charleston Gazette-Mail/Charleston","By any measure, she is qualified to be president, certainly the most qualified of any candidate in this election. More qualified, Bill Clinton said, than either he or Barack Obama when they asked Americans for their votes.\nYet, there is something else. Hillary has blue-collar roots, from growing up as the daughter of a drapery maker in small-town Illinois, to representing not only urban but also rural New York state. She has spent time in communities like the ones all over West Virginia. That’s not a requirement to be a good president, but it is a comfort when it happens."
137,"The Jersey Journal","Secaucus","New Jersey",15410,"October 14","Hillary Clinton","Barack Obama","http://www.nj.com/opinion/index.ssf/2016/10/vote_for_hillary_clinton_for_president_editorial.html",40.73066,-74.06404,"The Jersey Journal/Secaucus","Former Secretary of State, former U.S. Sen. and former first lady Hillary Clinton deserves our ballots not simply because her election will make history. She deserves our ballots because she will bring to the Oval Office unparalleled experience and proven empathy for people of all walks of life. She will bring a vision for the future that is empowering for the vast majority of Americans. And she will bring the strength to see that vision through to reality."
138,"News-Press","Stillwater","Oklahoma",8672,"October 14","Hillary Clinton","","http://www.stwnewspress.com/opinion/our-view-best-choice-for-president/article_79b3b296-91bf-11e6-b0ed-77fa6e31c445.html",36.1156071,-97.0583681,"News-Press/Stillwater","While Trump’s campaign has raised and elevated a number of significantly important issues – immigration, national security, trade, middle class economic angst, law enforcement, and others – his personal remarks, actions and attitudes cannot be overlooked."
139,"Miami Herald","Miami","Florida",153360,"October 14","Hillary Clinton","Barack Obama","http://www.miamiherald.com/opinion/op-ed/article108145747.html",25.7883568,-80.1865415,"Miami Herald/Miami","Ms. Clinton understands the urgency of climate change, and as her recent local appearance with former Vice President Al Gore highlights, she gets that South Florida is Ground Zero for the ravages of sea-level rise. More important, Ms. Clinton has laid out a multi-pronged achievable plan to tackle it. Mr. Trump, by the way, has said climate change is a hoax perpetrated by China."
140,"Democrat and Chronicle","Rochester","New York",131456,"October 14","Hillary Clinton","Barack Obama","http://www.democratandchronicle.com/story/opinion/editorials/2016/10/14/rochester-democrat-and-chronicle-endorses-hillary-clinton-for-president/92047088/",43.16103,-77.6109219,"Democrat and Chronicle/Rochester","We are aware that Trump’s most loyal supporters in Rochester will chalk this off as another example of media bias.\nBut, as members of the fourth estate, we are upholding our foremost responsibility, which is to help maintain a functioning democracy. There is no question that this Editorial Board is biased against the selection of a man who, because of his character, is egregiously incapable of contributing to that goal."
141,"The Daily Astorian","Astoria","Oregon",6307,"October 14","Hillary Clinton","Barack Obama","http://www.dailyastorian.com/editorials/20161014/endorsement-hillary-clinton-should-be-our-next-president",46.1878841,-123.8312534,"The Daily Astorian/Astoria","Hillary Clinton, by contrast, is fully capable of leading our country. By becoming president she would break barriers that shouldn’t exist. She has prior top-level experience as secretary of state and as first lady of the country while her husband, Bill, was president. She has the professionalism, temperament and sophistication to lead this country, as evidenced by her steady composure during the debates with Trump where he imploded in front of a worldwide audience."
142,"The Kansas City Star","Kansas City","Missouri",213169,"October 14","Hillary Clinton","Barack Obama","http://www.kansascity.com/opinion/editorials/article108280082.html",39.095531,-94.579827,"The Kansas City Star/Kansas City","There are few resumes like hers in politics. She has served the public interest for decades, and that level of involvement would make her the most experienced president-elect to enter the White House since George Herbert Walker Bush."
143,"Orlando Sentinel","Orlando","Florida",221613,"October 14","Hillary Clinton","Mitt Romney","http://www.orlandosentinel.com/opinion/os-ed-endorsements-president-20161015-story.html",28.628504,-81.445348,"Orlando Sentinel/Orlando","Most of her bills as a senator had Republican co-sponsors. She worked across the aisle to get federal funds to rebuild New York after the 9-11 attacks and provide health care for first responders. As secretary of state, she met with leaders in 112 countries, brokered a cease-fire between Israel and Hamas, rallied other world powers to impose sanctions on Iran and continued her career-long advocacy for the rights of women and girls."
144,"The Oregonian","Portland","Oregon",216798,"October 14","No endorsement","No endorsement","http://www.oregonlive.com/opinion/index.ssf/2016/10/why_we_wont_endorse_a_presiden.html",45.5968526,-122.7324421,"The Oregonian/Portland","Our goal as an editorial board is to have an impact in our community. And we don't think an endorsement for president would move the needle."
145,"Duncan Banner","Duncan","Oklahoma",7875,"October 14","Hillary Clinton","","http://www.duncanbanner.com/oklahoma/editorial-trump-comments-make-clinton-only-option-for-president/article_32e1f288-9246-11e6-88fc-87b951aedd93.html",34.5023028,-97.9578128,"Duncan Banner/Duncan","We do not come to this lightly. Ours is a conservative community that values fiscal restraint and cherishes Biblical principles. We yearn for a candidate who exemplifies those characteristics. But we must vote on the ballots we are given, and our common values are the precise reason for our choice.\nIt is impossible to champion our community’s shared ideals and accept Trump’s behavior."
146,"Lexington Herald-Leader","Lexington","Kentucky",88343,"October 14","Hillary Clinton","Barack Obama","http://www.kentucky.com/opinion/editorials/article108337602.html",38.041687,-84.487869,"Lexington Herald-Leader/Lexington","There may be emotional satisfaction in shouting about a “war on coal” and blaming Appalachia’s decades-old problems on President Barack Obama. But when the noise dies down and the election is over, sound bites will do nothing to help rebuild the region.\nClinton has committed to a Marshall Plan for Appalachia and said she will assign her husband, former President Bill Clinton, to see that it gets done."
147,"The Express-Star","Chickasha","Oklahoma",4670,"October 14","Hillary Clinton","","http://www.chickashanews.com/opinion/trump-s-multiple-shortcomings-make-him-a-poor-candidate-for/article_9f4e630c-923c-11e6-9e3e-f39d631c9796.html",35.052565,-97.9364326,"The Express-Star/Chickasha","Clinton’s failures pale compared to Trump’s. Far from a defender of freedom, he vows to ban people’s entry into the U.S. based upon religious belief. He wears his history of tax-avoidance as a badge of honor. He is unscrupulous, lying directly to the media and voters. We don’t recall a time in history that any other candidate could have weathered the storm that has followed Trump – yet he endures."
148,"The York Dispatch","York","Pennsylvania",37000,"October 14","Hillary Clinton","","http://www.yorkdispatch.com/story/opinion/editorials/2016/10/14/editorial-vote-and-say-good-riddance/91855764/",39.9625984,-76.727745,"The York Dispatch/York","On the one hand is an intelligent woman who is eminently qualified to lead our country — and on the other is an ignorant buffoon most decent Americans would be ashamed to have in their own homes, much less send to the White House."
149,"El Nuevo Herald","Miami","Florida",59617,"October 14","Hillary Clinton","","http://www.elnuevoherald.com/opinion-es/en-nuestra-opinion/article108124102.html",25.7616798,-80.1917902,"El Nuevo Herald/Miami","La afirmación de que Hillary Clinton es el menor de dos males es errónea. Clinton es una mujer pragmática y decidida, de firme convicción política, con un demostrado dominio de la política. Y sí, políticamente ha cometido errores. Pero Donald Trump es un ser humano con graves problemas."
150,"The Times-Picayune","New Orleans","Louisiana",108690,"October 15","Hillary Clinton","No endorsement","http://www.nola.com/politics/index.ssf/2016/10/hillary_clinton_president_1.html",29.9510658,-90.0715323,"The Times-Picayune/New Orleans","[F]or New Orleanians, perhaps the most compelling contrast between Mr. Trump and Mrs. Clinton is his intolerance and her inclusiveness. New Orleans has diversity in its DNA. A president who routinely degrades African-Americans, Hispanics, Muslims and women could not, and would not, represent us."
151,"Mt. Vernon Register-News","Mt. Vernon","Illinois",8215,"October 15","Hillary Clinton","","http://www.register-news.com/opinion/endorsement-clinton-is-clear-choice-for-president/article_c6af7a5f-60f8-52b8-a8e3-089e1f04c7d6.html",38.3172714,-88.9031201,"Mt. Vernon Register-News/Mt. Vernon","Republican Donald Trump has consistently displayed traits that are frighteningly dangerous if he were to be trusted with the awesome responsibility of being commander in chief and the most powerful person in the world — narcissism, impatience, impulsiveness, fear-mongering, misogyny, and xenophobia among them."
152,"The Providence Journal","Providence","Rhode Island",99908,"October 15","Hillary Clinton","Barack Obama","http://www.providencejournal.com/opinion/20161015/editorial-hillary-clinton-for-president",41.8239891,-71.4128343,"The Providence Journal/Providence","In this environment, there is one candidate who has the intellect, calmness, toughness and experience to lead America through these troubled times. That is why we enthusiastically endorse Democrat Hillary Clinton for president."
153,"The Des Moines Register","Des Moines","Iowa",174208,"October 15","Hillary Clinton","Mitt Romney","http://www.desmoinesregister.com/story/opinion/editorials/endorsement/2016/10/15/registers-endorsement-clinton-vote-american-values/92009448/",41.5178973,-93.6714386,"The Des Moines Register/Des Moines","For those who believe America should be a beacon of a hope in a world ravaged by terrorism, that it should be a force for good and that its leaders should embody all that is best about this nation, there is only one choice for president: Hillary Clinton."
154,"Reporter-Herald","Loveland","Colorado",15290,"October 15","Hillary Clinton","Mitt Romney","http://www.reporterherald.com/opinion/ci_30473534/clinton-has-resume-job-president",40.3977612,-105.0749801,"Reporter-Herald/Loveland","Several conservative candidates with the leadership experience, character, aptitude, credentials and ideas to serve this nation well in the White House failed in the primary, and others chose not to run. Of the candidates in all parties who remain in this race, only one can lead this nation for the next four years, and that person is Hillary Clinton."
155,"Peoria Journal Star","Peoria","Illinois",68791,"October 15","Hillary Clinton","Mitt Romney","http://www.pjstar.com/opinion/20161015/editorial-for-us-president-trump-unfit-clinton-by-default",40.6936488,-89.5889864,"Peoria Journal Star/Peoria","We flirted with a non-endorsement, but concluded that would be a cop-out, an abdication of the role and responsibility of any self-respecting opinion page. That's especially so given our concerns go well beyond policy differences to the potential danger posed by one of the candidates, who threatens to take a sledgehammer to the very pillars of our republic."
156,"Omaha World-Herald","Omaha","Nebraska",117059,"October 15","Hillary Clinton","Mitt Romney","http://www.omaha.com/opinion/editorial-hillary-clinton-is-prudent-pick-for-president/article_94a58d80-9341-11e6-a7e8-cf8bfd4f296a.html",41.2523634,-95.9979883,"Omaha World-Herald/Omaha","With that much on the line, the prudent vote would go toward the least risky candidate for president. Put another way, the candidate who would have the best chance to implement changes by working with Congress, foreign and domestic leaders and military leaders under normal circumstances as well as during a crisis."
157,"Roswell Daily Record","Roswell","New Mexico",10389,"October 15","No endorsement","","http://rdrnews.com/wordpress/blog/2016/10/15/rdr-opts-out-of-endorsements/",33.3942655,-104.5230242,"Roswell Daily Record/Roswell","[T]his time around, we feel endorsements could further divide this city along partisan lines, and right now it’s more important to communicate fair-mindedness than it is to tell you how we’ll be voting. Besides, we can’t even agree among ourselves on who to vote for."
158,"The Santa Fe New Mexican","Santa Fe","New Mexico",19836,"October 15","Hillary Clinton","Barack Obama","http://www.santafenewmexican.com/opinion/editorials/our-view-for-president-hillary-clinton/article_2a3e046e-30ca-5991-b35e-8f2989ccf7ce.html",35.6070946,-106.0388618,"The Santa Fe New Mexican/Santa Fe","Vote <i>for</i> her, not just against Trump. Hillary Clinton has earned the nation’s support. She is seasoned. She is smart. And she — in the words of her opponent — won’t quit. "
159,"The Herald Bulletin","Anderson","Indiana",18160,"October 15","Hillary Clinton","Barack Obama","http://www.heraldbulletin.com/opinion/editorial-clinton-clearly-better-choice-for-president/article_af45caef-631f-5561-8d6a-db8fbd40f9b6.html",40.1053196,-85.6802541,"The Herald Bulletin/Anderson","Change for the sake of change alone is a bad idea, while a comprehensive, considered, informed agenda to meet challenges at home and abroad is the key to our country's future."
160,"Midland Daily News","Midland","Michigan",13803,"October 15","Hillary Clinton","Mitt Romney","http://www.ourmidland.com/opinion/editorials/article/Our-view-Our-struggles-with-Trump-candidacy-9973851.php",43.6155825,-84.2472116,"Midland Daily News/Midland","In choosing Clinton, we recognize the historic nature of her candidacy — an opportunity to break a centuries-old barrier and become the first woman to be president since the founding of our nation. But we also recognize that in terms of governmental philosophy, there is not much that we agree on."
161,"Longmont Times-Call","Longmont","Colorado",11435,"October 15","Hillary Clinton","Mitt Romney","http://www.timescall.com/opinion/editorial/ci_30473592/editorial-hillary-clinton-has-resume-job-president",40.1672068,-105.1019275,"Longmont Times-Call/Longmont","This is not an endorsement taken lightly, nor is it an easy one to make, as Hillary Clinton does not represent the fiscal conservatism, free-market mind-set and desire to keep restraints on government overreach that this newspaper usually supports.\nSadly, neither does Trump, as evidenced by his enthusiastic support of eminent domain; his insistence that an impractical, multibillion-dollar wall (which also would mean taking private property owners' land) would be a good investment; his admiration of tyrants, attacks on free speech and instinct to use brash threats as a military strategy; and his pledge that if elected he would jail his opponent, something that has no place in American politics."
162,"The Modesto Bee","Modesto","California",68000,"October 15","Hillary Clinton","No endorsement","http://www.modbee.com/opinion/editorials/article108365957.html",37.6995599,-121.0539696,"The Modesto Bee/Modesto","What doesn’t concern us, though, are her ideas, qualifications and demeanor. Throughout this campaign, the debates and vicious internet attacks, she has shown that she has what it takes to lead."
163,"Concord Monitor","Concord","New Hampshire",22747,"October 16","Hillary Clinton","Barack Obama","http://www.concordmonitor.com/Hillary-Clinton-for-preside-t-5396703",43.2736729,-71.5637827,"Concord Monitor/Concord","It will come as a surprise to no one that this newspaper strongly endorses Hillary Clinton for president. Her opponent, Donald Trump, is completely unfit to serve and unfit to be a role model for anyone, let alone children. And that’s enough about him."
164,"The Bulletin","Bend","Oregon",27599,"October 16","Hillary Clinton","Mitt Romney","http://www.bendbulletin.com/opinion/4730068-151/editorial-hillary-clinton-for-president?referrer=fpblob",44.0581728,-121.3153096,"The Bulletin/Bend","It doesn’t matter what a candidate thinks about, oh, tax policy and federal land management if that candidate is neither qualified for the nation’s most important elective office nor temperamentally suited to it. Such is the case with Trump, who has never held elective office of any kind."
165,"Foster's Daily Democrat","Dover","New Hampshire",16235,"October 16","Hillary Clinton","Mitt Romney","http://www.fosters.com/news/20161016/our-view-clinton-is-best-candidate-for-president",43.1978624,-70.8736698,"Foster's Daily Democrat/Dover","We like what she’s fighting for – broad prosperity achieved by public investment in education and clean energy, prudently funded by a fair tax code, and a future in which our country’s diversity brings strength through inclusion."
166,"The Courier-Journal","Louisville","Kentucky",202164,"October 16","Hillary Clinton","Barack Obama","http://www.courier-journal.com/story/opinion/editorials/2016/10/16/courier-journal-editorial-hillary-clinton-best-choice-donald-trump/92054186/",38.2526647,-85.7584557,"The Courier-Journal/Louisville","Trump has campaigned on fear, not hope. We can’t back his candidacy."
167,"Wisconsin State Journal","Madison","Wisconsin",93022,"October 16","Hillary Clinton","Mitt Romney","http://host.madison.com/wsj/opinion/editorial/our-endorsement-hillary-clinton-america-must-get-this-right/article_b526fe64-c2ca-5e3d-807a-0ef4ae23a4d5.html",43.0730517,-89.4012302,"Wisconsin State Journal/Madison","The world needs a U.S. president who can actually lead. Clinton is that leader, and the world needs America to get this right."
168,"The News Leader","Staunton","Virginia",15605,"October 16","Hillary Clinton","Barack Obama","http://www.newsleader.com/story/opinion/editorials/2016/10/16/clinton-without-hesitation/92165680/",38.150079,-79.073339,"The News Leader/Staunton",""
169,"The Columbian","Vancouver","Washington",58756,"October 16","Hillary Clinton","Mitt Romney","http://www.columbian.com/news/2016/oct/16/in-our-view-clinton-for-president/",45.6387281,-122.6614861,"The Columbian/Vancouver","Despite a dark and divisive presidential campaign, a glimmer of light is shining through: There is one candidate who has the experience, demeanor, and uplifting vision necessary to shepherd this nation toward a successful future."
170,"The Pantagraph","Bloomington-Normal","Illinois",34515,"October 16","Hillary Clinton","Mitt Romney","http://www.pantagraph.com/news/opinion/editorial/editorial-clinton-is-the-better-choice-for-president/article_deacd4e0-7f40-5910-bfef-f25696c67920.html",40.479773,-88.995982,"The Pantagraph/Bloomington-Normal","But this election is not a case of choosing the lesser of two evils. There is a system of checks and balances that every president must work within. Clinton can do that and has done it. Trump has proven at every turn that he would not."
171,"Herald & Review","Decatur","Illinois",38427,"October 16","Hillary Clinton","Mitt Romney","http://herald-review.com/news/opinion/editorial/our-views-trump-unfit-for-president-clinton-is-better-choice/article_b7322591-085c-56d2-92cb-68e5004f5ab6.html",39.8403147,-88.9548001,"Herald & Review/Decatur","Simply put, Trump lacks the temperament, maturity and depth of knowledge required to be commander in chief."
172,"The Keene Sentinel","Keene","New Hampshire",13349,"October 16","Hillary Clinton","Barack Obama","http://www.sentinelsource.com/opinion/editorial/hillary-clinton-is-the-only-real-choice-for-president/article_152cb7a3-fb04-537e-af47-88e258e0e471.html",42.933692,-72.2781409,"The Keene Sentinel/Keene","The former first lady, U.S. senator and secretary of state is among the most highly qualified candidates in memory in terms of experience, intelligence and demonstrable commitment to public service. Clinton has been on the national and world stage for decades, working tirelessly, making tough calls, taking the heat that comes with partisan politics, and working successfully across the aisle to better the lives of children and others."
173,"Staten Island Advance","Staten Island","New York",29893,"October 16","Hillary Clinton","Barack Obama","http://www.silive.com/opinion/index.ssf/2016/10/our_choice_for_president_hilla.html",40.5795317,-74.1502007,"Staten Island Advance/Staten Island","Vote for Mrs. Clinton because in this election, she alone displays the dignity, the grace, the passion and compassion, the mental acumen, the temperament – and yes, the incredible experience on the national and international level – that will allow America the best opportunity to move forward in how we treat our neighbors here and abroad, and how we will protect ourselves from those neighbors out to not just do us harm, but to destroy our way of life."
174,"The Oklahoman","Oklahoma City","Oklahoma",112225,"October 16","No endorsement","Mitt Romney","http://newsok.com/on-nov.-8-good-of-the-country-must-come-first/article/5522581",35.4829357,-97.5463885,"The Oklahoman/Oklahoma City","One nominee, Republican Donald Trump, is the wildest of wild cards. The other, Democrat Hillary Clinton, is a serially dishonest political lifer. In different ways, both would promote policies that harm this nation. Whether Trump or Clinton wins, conservative control of Congress is needed as a bulwark against their misguided policies."
175,"The Post-Star","Glens Falls","New York",28001,"October 16","Hillary Clinton","Barack Obama","http://poststar.com/news/opinion/editorial/endorsement-we-fear-this-presidential-election/article_4315ba43-3216-518e-8b01-d256efd0d097.html",43.3095164,-73.6440058,"The Post-Star/Glens Falls","We found Trump’s promise to jail Clinton if he is elected during the last debate to be one of the most chilling pronouncements in the history of American politics."
176,"The Register-Guard","Eugene","Oregon",77256,"October 16","Hillary Clinton","Barack Obama","http://registerguard.com/rg/opinion/34887735-78/clinton--but-mostly-not-trump.html.csp",44.086112,-123.052019,"The Register-Guard/Eugene","In no respect are Clinton and Trump equally qualified. Where Clinton has a life of public service, Trump has a career dedicated to private gain. Where Clinton is comprehensively well-informed, Trump is boastfully ignorant. For every exaggeration and evasion from Clinton come a dozen outright fabrications from Trump. The candidates are as different as respect and scorn, as humility and pride, as hope and fear."
177,"Kenosha News","Kenosha","Wisconsin",29647,"October 16","Hillary Clinton","","http://www.kenoshanews.com/opinion/we_endorse_hillary_clinton_for_president_490186518.php",42.5847425,-87.8211854,"Kenosha News/Kenosha","Through the campaign, Trump showed that he was tough but his ignorance and arrogance flowed too freely. For the foreseeable future, we need our president to stay on script and on task. We need a president who measures what she says before it is said. Those are not skills that Trump embraces or even understands."
178,"Billings Gazette","Billings","Montana",36884,"October 16","Hillary Clinton","Mitt Romney","http://billingsgazette.com/news/opinion/editorial/gazette-opinion/gazette-opinion-why-montanans-should-pick-clinton/article_222e8bd3-b185-5ea6-a505-4425e5bf3cbf.html",45.7832856,-108.5006904,"Billings Gazette/Billings","Clinton's positions on small business and public lands reflect values shared by Montanans. She has proposed steps that would reduce the tax and paperwork burden now borne by small businesses. For example, she has proposed giving small businesses the option of taking a standard deduction. She proposed doubling the immediate write-off for investments. She proposes to streamline regulations on community banks and credit unions — vital lenders for small businesses."
179,"Chattanooga Times Free Press","Chattanooga","Tennessee",63072,"October 16","No endorsement","Gary Johnson","http://www.timesfreepress.com/news/opinion/freepress/story/2016/oct/16/cooper-shocking-disappointment/392143/",35.0456297,-85.3096801,"Chattanooga Times Free Press/Chattanooga","[T]he Democratic nominee, former Secretary of State Hillary Clinton, represents an anathema to everything this page has stood for — smaller government, lower taxes, the rule of law, a market-driven economy, strong family values."
180,"St. Joseph News-Press","St. Joseph","Missouri",26015,"October 16","Donald Trump","Mitt Romney","http://www.newspressnow.com/opinion/editorials/trump-and-gop-offer-best-hope-to-lead-america/article_a19fa87b-fe91-5c33-b2a4-5cb21e72aeb5.html",39.754357,-94.760449,"St. Joseph News-Press/St. Joseph","Donald Trump represents something different for a broad swath of America that is serious about wanting a less intrusive government, a more robust economic recovery and leadership that protects our interests around the world."
181,"Northwest Herald","Crystal Lake","Illinois",38000,"October 16","No endorsement","Mitt Romney","http://www.nwherald.com/2016/10/14/endorsement-u-s-president-no-endorsement/au2m9k7/?page=2",42.2411344,-88.3161965,"Northwest Herald/Crystal Lake","In these unprecedented times, we find ourselves in the unprecedented situation of not being able to reach a consensus on a qualified and viable candidate. We simply cannot recommend any of the candidates in the 2016 presidential race. "
182,"The Pueblo Chieftain","Pueblo","Colorado",37794,"October 16","No endorsement","Mitt Romney","http://www.chieftain.com/news/politics/5166104-120/clinton-candidate-trump-believe",38.2544472,-104.6091409,"The Pueblo Chieftain/Pueblo","Donald Trump, because of his business acumen, and Hillary Clinton, because of her vast experience, both would bring strong skills to the Oval Office. However, and there’s no nice way to say this, we don’t trust either one of them."
183,"Star Beacon","Ashtabula","Ohio",18974,"October 16","Hillary Clinton","","http://www.starbeacon.com/opinion/editorials/hillary-clinton-is-best-fit-to-be-president/article_a955adbd-757f-50b2-beb2-c8195c64e3f4.html",41.865294,-80.783396,"Star Beacon/Ashtabula",""
184,"The Press of Atlantic City","Atlantic City","New Jersey",63824,"October 16","No endorsement","","http://www.pressofatlanticcity.com/opinion/editorials/media-s-job-is-to-help-voters-make-informed-choices/article_0cf59776-ffaa-5fb6-a352-b16cba2b924e.html",39.3642834,-74.4229266,"The Press of Atlantic City/Atlantic City","Telling readers how to vote, however, is contrary to the mission of newspapers and other media, which is to extend the public’s experience and perspectives. Newsgathering organizations give the public eyes, ears and memory beyond the capability of an individual. People want them to be reliable and credible. When the media start making judgments, their audiences wonder if they’re altering their content to support that judgment too."
185,"The Herald","Sharon","Pennsylvania",13283,"October 16","Hillary Clinton","No endorsement","http://www.sharonherald.com/opinion/editorials/clinton-is-prepared-qualified-to-be-our-next-president/article_57a34bd2-31bf-5c17-902a-38cdbf0b4a69.html",41.232553,-80.505983,"The Herald/Sharon",""
186,"Canon City Daily Record","Canon City","Colorado",4765,"October 16","Hillary Clinton","Mitt Romney","http://www.canoncitydailyrecord.com/opinion/editorial/ci_30489956/editorial-hillary-clinton-has-resume-job-president",38.44395,-105.230649,"Canon City Daily Record/Canon City",""
187,"Merced Sun-Star","Merced","California",12059,"October 17","Hillary Clinton","","http://www.mercedsunstar.com/opinion/editorials/article108813657.html",37.3021632,-120.4829677,"Merced Sun-Star/Merced",""
188,"Waxahachie Daily Light","Waxahachie","Texas",4787,"October 17","Donald Trump","","http://www.waxahachietx.com/news/20161017/wdl-trump-for-potus",32.3865312,-96.8483311,"Waxahachie Daily Light/Waxahachie",""
189,"LNP","Lancaster","Pennsylvania",72147,"October 18","Hillary Clinton","Split endorsements","http://lancasteronline.com/opinion/editorials/choosing-a-president-in-a-contentious-election-year/article_1975ab5e-94ae-11e6-8abb-2b437a0a4a55.html",40.0378755,-76.3055144,"LNP/Lancaster",""
190,"La Opinión","Los Angeles","California",49953,"October 18","Hillary Clinton","Barack Obama","http://laopinion.com/2016/10/17/la-opinion-endorses-hillary-clinton/",34.0522342,-118.2436849,"La Opinión/Los Angeles",""
191,"Chico Enterprise-Record","Chico","California",29843,"October 19","No endorsement","Mitt Romney","http://www.chicoer.com/opinion/20161018/editorial-for-president-we-cannot-endorse-anybody",39.7284944,-121.8374777,"Chico Enterprise-Record/Chico",""
192,"Oroville Mercury-Register","Oroville","California",5852,"October 19","No endorsement","Mitt Romney","http://www.orovillemr.com/opinion/20161018/editorial-for-president-we-cannot-endorse-anybody",39.5137752,-121.556359,"Oroville Mercury-Register/Oroville",""
